,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,symbol
0,2024-09-30,2024-10-31,0.25,0.25,0,0,pre-market,WEN
1,2024-06-30,2024-08-01,0.27,0.28,-0.01,-3.5714,pre-market,WEN
2,2024-03-31,2024-05-02,0.23,0.21,0.02,9.5238,pre-market,WEN
3,2023-12-31,2024-02-15,0.21,0.23,-0.02,-8.6957,pre-market,WEN
4,2023-09-30,2023-11-02,0.27,0.25,0.02,8,pre-market,WEN
5,2023-06-30,2023-08-09,0.28,0.27,0.01,3.7037,pre-market,WEN
6,2023-03-31,2023-05-10,0.21,0.2,0.01,5,pre-market,WEN
7,2022-12-31,2023-03-01,0.22,0.2,0.02,10,pre-market,WEN
8,2022-09-30,2022-11-09,0.24,0.23,0.01,4.3478,pre-market,WEN
9,2022-06-30,2022-08-10,0.24,0.22,0.02,9.0909,pre-market,WEN
10,2022-03-31,2022-05-11,0.17,0.18,-0.01,-5.5556,pre-market,WEN
11,2021-12-31,2022-03-01,0.16,0.15,0.01,6.6667,pre-market,WEN
12,2021-09-30,2021-11-10,0.19,0.18,0.01,5.5556,pre-market,WEN
13,2021-06-30,2021-08-11,0.27,0.18,0.09,50,pre-market,WEN
14,2021-03-31,2021-05-12,0.2,0.15,0.05,33.3333,pre-market,WEN
15,2020-12-31,2021-03-03,0.17,0.18,-0.01,-5.5556,pre-market,WEN
16,2020-09-30,2020-11-04,0.19,0.17,0.02,11.7647,pre-market,WEN
17,2020-06-30,2020-08-05,0.12,0.11,0.01,9.0909,pre-market,WEN
18,2020-03-31,2020-05-06,0.09,0.1,-0.01,-10,pre-market,WEN
19,2019-12-31,2020-02-26,0.08,0.08,0,0,pre-market,WEN
20,2019-09-30,2019-11-06,0.19,0.15,0.04,26.6667,pre-market,WEN
21,2019-06-30,2019-08-07,0.18,0.17,0.01,5.8824,pre-market,WEN
22,2019-03-31,2019-05-08,0.14,0.11,0.03,27.2727,pre-market,WEN
23,2018-12-31,2019-02-21,0.16,0.15,0.01,6.6667,pre-market,WEN
24,2018-09-30,2018-11-06,0.17,0.15,0.02,13.3333,post-market,WEN
25,2018-06-30,2018-08-07,0.14,0.16,-0.02,-12.5,post-market,WEN
26,2018-03-31,2018-05-08,0.11,0.1,0.01,10,post-market,WEN
27,2017-12-31,2018-02-21,0.11,0.11,0,0,post-market,WEN
28,2017-09-30,2017-11-08,0.09,0.12,-0.03,-25,pre-market,WEN
29,2017-06-30,2017-08-09,0.15,0.13,0.02,15.3846,pre-market,WEN
30,2017-03-31,2017-05-10,0.09,0.08,0.01,12.5,pre-market,WEN
31,2016-12-31,2017-02-16,0.08,0.09,-0.01,-11.1111,pre-market,WEN
32,2016-09-30,2016-11-09,0.11,0.1,0.01,10,pre-market,WEN
33,2016-06-30,2016-08-10,0.1,0.09,0.01,11.1111,pre-market,WEN
34,2016-03-31,2016-05-11,0.11,0.06,0.05,83.3333,pre-market,WEN
35,2015-12-31,2016-02-09,0.12,0.11,0.01,9.0909,pre-market,WEN
36,2015-09-30,2015-11-04,0.09,0.08,0.01,12.5,pre-market,WEN
37,2015-06-30,2015-08-05,0.08,0.09,-0.01,-11.1111,pre-market,WEN
38,2015-03-31,2015-05-06,0.06,0.05,0.01,20,pre-market,WEN
39,2014-12-31,2015-02-03,0.1,0.1,0,0,pre-market,WEN
40,2014-09-30,2014-11-06,0.08,0.09,-0.01,-11.1111,pre-market,WEN
41,2014-06-30,2014-08-07,0.09,0.1,-0.01,-10,pre-market,WEN
42,2014-03-31,2014-05-08,0.07,0.05,0.02,40,pre-market,WEN
43,2013-12-31,2014-02-27,0.11,0.09,0.02,22.2222,pre-market,WEN
44,2013-09-30,2013-11-07,0.08,0.06,0.02,33.3333,pre-market,WEN
45,2013-06-30,2013-07-23,0.08,0.06,0.02,33.3333,pre-market,WEN
46,2013-03-31,2013-05-08,0.03,0.03,0,0,pre-market,WEN
47,2012-12-31,2013-02-28,0.09,0.04,0.05,125,pre-market,WEN
48,2012-09-30,2012-11-08,0.03,0.05,-0.02,-40,pre-market,WEN
49,2012-06-30,2012-08-09,0.05,0.05,0,0,pre-market,WEN
50,2012-03-31,2012-05-08,0.01,0.03,-0.02,-66.6667,pre-market,WEN
51,2011-12-31,2012-01-30,0.04,0.04,0,0,pre-market,WEN
52,2011-09-30,2011-11-09,0.05,0.04,0.01,25,pre-market,WEN
53,2011-06-30,2011-08-11,0.05,0.05,0,0,pre-market,WEN
54,2011-03-31,2011-05-10,0.01,0.02,-0.01,-50,pre-market,WEN
55,2010-12-31,2011-01-26,0.01,None,None,None,pre-market,WEN
56,2010-09-30,2010-11-12,0.05,0.04,0.01,25,pre-market,WEN
57,2010-06-30,2010-08-12,0.06,0.05,0.01,20,pre-market,WEN
58,2010-03-31,2010-05-13,0.02,0.01,0.01,100,pre-market,WEN
59,2009-12-31,2010-03-04,0.07,0.03,0.04,133.3333,pre-market,WEN
60,2009-09-30,2009-11-05,0.06,0.06,0,0,pre-market,WEN
61,2009-06-30,2009-08-06,0.06,0.06,0,0,pre-market,WEN
